RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
AN,LAMBERT,Association AMADEA Enfance et Développement Madagascar,,2000,209-05,Développement - Coopération multilatérale,2012
AN,LASBORDES,Gif Niger,,2500,209-02,Développement - Coopération bilatérale,2012
AN,LASBORDES,Solidarité Rurale France Madagascar,,2500,209-02,Développement - Coopération bilatérale,2012
AN,LAZARO,AYITIMOUN YO France,,1500,209-02,Développement - Coopération bilatérale,2012
AN,LAZARO,LICORNE,,1000,209-02,Développement - Coopération bilatérale,2012
AN,LAZARO,SHAKTI Népal,,1500,209-02,Développement - Coopération bilatérale,2012
S,LECONTE,Ecole française d'Erevan,Arménie,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,YERKIR Europe,,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Education Française  Bay Area,Etats-Unis,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Initiatives France/Hongrie,,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Ecole française de Tirana,Albanie,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Fraternité française d'Alicante,Espagne,4000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Ecole française Marie Brosset Tbilissi,Georgie,8000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,FLAM à Oulan Bator,Mongolie,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,HCR éducation enfants déplacés de SOACHA,Colombie,7500,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Ecole française Docteur René Guillet,Sénégal,12000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Collège International Marie de France Montréal,Canada,3000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,LECONTE,Un autre Monde Zagreb ,Croatie,3000,185-01,Diplomatie culturelle et d'influence - Réseau,2012
S,LECONTE,Maison de la Bretagne à Walbrzych,Pologne,3000,185-01,Diplomatie culturelle et d'influence - Réseau,2012
S,LECONTE,Centre Médico Social de Bamako,Mali,7000,185-01,Diplomatie culturelle et d'influence - Réseau,2012
S,LECONTE,Ecole Livia LAMOURE Bamako,Mali,5000,185-01,Diplomatie culturelle et d'influence - Réseau,2012
S,LECONTE,Divers établissements à l'étranger,,500,185-05,Diplomatie culturelle et d'influence - AEFE,2012
AN,LEFRANC,Comité Tiers Monde Isigny-Carentan,,1500,209-02,Développement - Coopération bilatérale,2012
S,LEPAGE,Ecole française Saint-Exupéry Kigali,Rwanda,12000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Biblio école française de Kampala,Ouganda,6000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Collège Fodecariah,Allemagne,3500,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Ecole française de Lomé,Togo,7000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Alliance française de Manakara,Madagascar,2500,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Alliance française de Mahajanga,Madagascar,15000,185-02,Coopération culturelle et promotion du français,2012
S,LEPAGE,Lycée français rené Cassin Fianatrantsoa,Madagascar,10000,185-02,Coopération culturelle et promotion du français,2012
